Parcel_name,soil_NPK_PC
Farm_A_1,-0.6486325670032793
Farm_A_2,1.4633944907831054
Farm_A_3,1.2179409719200098
Farm_A_4,-0.13736220941852828
Farm_A_5,-1.2848350602937821
Farm_A_6,0.3164422577771364
Farm_A_7,0.21898711120471703
Farm_A_8,1.106440696900925
Communal_1,1.1472847728648463
Farm_A_10,0.5530915049786294
Farm_A_13,0.3675383667820006
Farm_B_1,0.8803352954777722
Farm_B_2,1.3434450757856506
Farm_B_3,0.36158618699422745
Farm_B_4,-0.522115663689229
Farm_B_5,-0.06659567445089357
Farm_B_6,0.41693642548089005
Farm_B_7,0.234559567294556
Communal_2,0.7159578408633267
Farm_C_1,0.2965052891637845
Farm_C_3,0.9636920944482587
Farm_C_6,0.33626074845056
Farm_C_8,0.2108548342994926
Farm_C_9,0.202853748474719
Farm_C_10,0.4369446677488553
Farm_D_1,0.8637444202382035
Communal_3,0.5200463940250322
Farm_D_3,-1.0194645984774302
Farm_D_4,1.052516204070415
Farm_D_5,-0.25189820325987666
Farm_D_6,-0.043639753621682154
Communal_4,-0.005554591290017702
Farm_D_8,0.15755030511425014
Communal_5,-3.868087233061318
Farm_D_10,0.8901565753563284
Farm_E_1,-0.577620601415916
Farm_E_2,-0.9773120935824746
Farm_E_3,0.6195495036348355
Farm_E_4,0.8964774365386923
Farm_E_5,-0.8644370871399039
Farm_E_6,-2.165527653640998
Farm_E_7,-1.0863912260654998
Farm_F_1,-3.1947083517847736
Farm_F_2,-1.0769102184756159
