Parcel_name,PC1_soil,PC2_soil
Viorel_1,-1.6768698430638536,0.181025269558086
Viorel_2,-1.67579764001737,0.24575872539742233
Viorel_7,0.0847914395517535,-0.8675228304966403
Viorel_8,-0.4585387201453705,-0.531867358602557
Viorel_9,0.4740803434893346,-0.2904359135967515
Ileana_2,-1.5854263731320197,-0.16325237283004543
Ileana_4,-1.487372224546843,-0.2215460950966118
Ileana_7,-0.6203990010792482,-0.5776901776337177
Ileana_8,-1.1302671177383965,-0.2712811149811861
Sabina_3,-1.5855939346138803,-0.08145922624624441
Leo_2,1.1079197892032282,0.9593660720951264
Leo_4,-0.8463021214450945,-0.054607323588990786
Leo_7,-0.3572644414877895,1.0260825882436224
Leo_9,6.984482850771086,-1.3513178810118915
Leo_10,-1.2225935316661916,0.310871229364983
Viorel_3,-1.4531716280511593,0.06948723310048746
Viorel_4,0.24552240617313822,0.30393842045316916
Viorel_5,1.7279779010167022,0.46019610191566007
Viorel_6,1.252272081273467,0.6761056303486344
Viorel_13,1.0687031575982289,0.19447764791370659
Ileana_1,-0.9173142668408256,-0.4261378303670347
Ileana_6,0.0016783760731438613,-0.939013414474619
Sabina_9,1.087058018770588,1.0019711991510434
Sabina_10,-1.06574368377713,-0.17804748901168932
Viorel_10,0.948661757860281,0.13822104214905895
Ileana_3,-1.3918486009927582,-0.18866613327390452
Ileana_5,-1.139261304426403,-0.3635188507016797
Sabina_1,-0.7801304610743686,-0.3562237725849881
Sabina_6,-1.6956464137159863,-0.16156821314736464
Sabina_8,0.0957927519545147,0.10625268527186654
Leo_1,1.6546629090282963,0.8904464737719062
Leo_3,2.9259114861771582,0.3495582584603262
Leo_5,2.40215051833028,-0.25388412272559446
Leo_6,2.107248735429749,0.3642211067503618
Leo_8,0.6226214657981711,0.012442127071601541
Nelu_1,-0.6617727798355798,0.26564898803953935
Nelu_2,1.1009493491822533,0.6867759925173909
Nelu_3,-0.359327406992265,0.6456711397145432
Nelu_4,-0.9297621969994563,0.3956530899909487
Nelu_5,-0.46233285045887873,0.09132035871863815
Nelu_6,0.01147304619635315,-0.805903181185647
Nelu_7,-0.8590837130407574,-0.08308914560147337
Brade_1,-0.9256752466869831,-0.34803445937431526
Brade_2,-0.6164628820491115,-0.8604244734651754
