Parcel_name,PC1_soil_2,PC2_soil_2
Viorel_1,-0.6486325670032793,0.49806762605201216
Viorel_2,1.4633944907831054,0.2675337516506998
Viorel_3,1.2179409719200098,-0.4610327366981453
Viorel_4,-0.13736220941852828,1.7397181208272925
Viorel_5,-1.2848350602937821,4.110804438492827
Viorel_6,0.3164422577771364,0.7440902925600219
Viorel_7,0.21898711120471703,-0.24847324329139373
Viorel_8,1.106440696900925,-0.3150978351321388
Viorel_9,1.1472847728648463,0.05304594983852218
Viorel_10,0.5530915049786294,0.9842099388599752
Viorel_13,0.3675383667820006,1.9476398504379784
Ileana_1,0.8803352954777722,-0.3202564793617013
Ileana_2,1.3434450757856506,-0.3418882396796209
Ileana_3,0.36158618699422745,-0.17547293789203372
Ileana_4,-0.522115663689229,-0.20435668809663748
Ileana_5,-0.06659567445089357,-0.9609768774152991
Ileana_6,0.41693642548089005,-0.1298101573268849
Ileana_7,0.234559567294556,-0.08950388750469596
Ileana_8,0.7159578408633267,-0.23212593236721324
Sabina_1,0.2965052891637845,-0.5423361376091458
Sabina_3,0.9636920944482587,-0.045462589743497595
Sabina_6,0.33626074845056,-0.5376324564386883
Sabina_8,0.2108548342994926,0.25494635743390737
Sabina_9,0.202853748474719,0.0656470528899164
Sabina_10,0.4369446677488553,-0.45547379504337776
Leo_1,0.8637444202382035,0.45482713271811587
Leo_2,0.5200463940250322,-0.5948355939302178
Leo_3,-1.0194645984774302,0.2778280157421689
Leo_4,1.052516204070415,-0.5521072834789433
Leo_5,-0.25189820325987666,0.8860520190310137
Leo_6,-0.043639753621682154,0.18112125365018744
Leo_7,-0.005554591290017702,-1.1822198846653933
Leo_8,0.15755030511425014,-0.9630132367685886
Leo_9,-3.868087233061318,-2.7081467333653872
Leo_10,0.8901565753563284,-0.5736513458815614
Nelu_1,-0.577620601415916,0.01939361976087639
Nelu_2,-0.9773120935824746,0.44051720813721407
Nelu_3,0.6195495036348355,-0.49196120533524823
Nelu_4,0.8964774365386923,-0.29041301835479283
Nelu_5,-0.8644370871399039,0.5386505050431971
Nelu_6,-2.165527653640998,-1.2628590075151007
Nelu_7,-1.0863912260654998,-0.6834851209227539
Brade_1,-3.1947083517847736,1.6960464429320417
Brade_2,-1.0769102184756159,-0.7975471522395055
