Parcel_name,Parcel_ID,Biomass_Wassen,N_Wassen,C_Wassen,P_Wassen,K_Wassen
Farm A 1,Viorel 1,4.736,1.669,41.399,1578.933,23505.205
Farm A 2,Viorel 2,10.746,1.692,42.663,5272.159,33212.2
Farm A 3,Viorel 3,16.146,2.055,41.472,979.377,13586.224
Farm A 4,Viorel 4,35.866,1.269,41.842,923.895,12140.394
Farm A 5,Viorel 5,41.406,1.619,43.233,1105.607,11195.929
Farm A 6,Viorel 6,25.966,1.645,44.385,2604.747,20056.582
Farm A 7,Viorel 7,21.356,0,0,761.894,14491.55
Farm A 8,Viorel 8,25.026,1.654,42.517,888.163,9858.352
Communal 1,Viorel 9,11.656,1.499,43.528,961.168,15832.664
Farm A 10,Viorel 10,15.626,1.785,43.308,1136.366,11735.033
Farm A 13,Viorel 13,23.116,1.916,41.714,2460.986,26925.653
Farm B 1,Ileana 1,14.906,2.064,42.494,1551.056,20340.569
Farm B 2,Ileana 2,16.686,1.417,42.361,1276.262,15267.842
Farm B 3,Ileana 3,21.056,1.941,42.914,1459.79,19749.092
Farm B 4,Ileana 4,19.806,1.656,43.02,1654.19,21312.882
Farm B 5,Ileana 5,17.616,1.946,43.194,1306.214,16692.349
Farm B 6,Ileana 6,21.646,1.803,43.044,1606.477,19898.267
Farm B 7,Ileana 7,14.216,2.141,40.454,1615.306,24803.038
Communal 2,Ileana 8,10.256,1.786,43.617,1189.064,14489.169
Farm C 1,Sabina 1,29.246,1.992,42.9,1792.111,19700.382
Farm C 3,Sabina 3,29.126,1.156,43.535,1301.287,13900.342
Farm C 6,Sabina 6,32.086,1.671,42.373,2104.101,18699.327
Farm C 8,Sabina 8,24.636,1.233,43.558,1440.394,11160.59
Farm C 9,Sabina 9,27.706,1.008,43.575,1588.278,21470.002
Farm C 10,Sabina 10,17.846,2.433,41.022,1571.134,21193.723
Farm D 1,Leo 1,28.126,1.696,43.278,1057.713,13576.662
Communal 3,Leo 2,5.396,1.234,44.052,1062.532,9677.514
Farm D 3,Leo 3,14.956,1.466,42.532,1009.409,18223.388
Farm D 4,Leo 4,4.526,1.598,39.815,914.423,13717.568
Farm D 5,Leo 5,14.606,1.578,41.701,1069.725,10317.257
Farm D 6,Leo 6,10.646,1.425,42.431,1115.964,10691.299
Communal 4,Leo 7,7.756,1.103,41.898,842.525,12976.093
Farm D 8,Leo 8,25.776,1.988,43.306,782.838,8943.088
Communal 5,Leo 9,2.366,1.393,44.214,756.397,5852.699
Farm D 10,Leo 10,5.376,1.53,41.829,1291.639,12095.891
Farm E 1,Nelu 1,55.786,1.549,42.067,1888.182,16805.899
Farm E 2,Nelu 2,33.176,1.59,41.755,1371.289,21402.902
Farm E 3,Nelu 3,31.526,1.589,42.082,828.912,12414.337
Farm E 4,Nelu 4,20.446,1.591,42.986,1367.915,11983.179
Farm E 5,Nelu 5,84.326,1.868,40.832,1098.862,12112.435
Farm E 6,Nelu 6,15.266,1.573,44.426,2066.942,18233.791
Farm E 7,Nelu 7,44.716,1.732,42.902,1779.934,14355.962
Farm F 1,Brade 1,41.506,1.46,42.836,1297.217,21890.047
Farm F 2,Brade 2,35.106,1.392,43.188,1141.741,23372.499
