Parcel_name,CoverVP_field,SR_VP_field,EvennessVP_field,ShannonVP_field,abundance_Exper,SR_Exper,Evenness_Exper,Shannon_Exper
Communal_1,106.713,40,3.8037427211239536,2.056233294420802,5,2,1.923076923076923,0.6730116670092565
Communal_2,99.274,38,8.917949748887919,2.4230586224092816,6,2,1.7999999999999998,0.6365141682948128
Communal_3,68.086,68,10.62647815665369,3.0184767371809986,6,2,2,0.6931471805599453
Communal_4,65.333,30,7.068231115735565,2.3391809094139457,7,3,2.3333333333333335,0.9556998911125343
Communal_5,66.93900000000001,61,6.290487924268701,2.4302223090949044,7,5,3.7692307692307696,1.4750763110546947
Farm_A_1,125.561,47,12.746127028739544,2.9626048707396375,21,7,3.528,1.5681501032915655
Farm_A_10,104.76,72,12.105952439297566,3.247368197949214,NA,NA,NA,NA
Farm_A_13,111.423,64,6.301263670119257,2.7894324283724106,NA,NA,NA,NA
Farm_A_2,98.306,80,10.358268284345268,2.8998789776962433,18,3,1.7419354838709677,0.7298429194806347
Farm_A_3,110.011,66,7.7831495794028625,2.9071288564067213,NA,NA,NA,NA
Farm_A_4,108.226,64,18.251869254622132,3.33432116228921,NA,NA,NA,NA
Farm_A_5,146.812,43,7.34291797672765,2.415468990976931,8,5,4,1.4941751382893083
Farm_A_6,126.451,63,12.008809716189146,2.995621992743836,NA,NA,NA,NA
Farm_A_7,104.502,49,5.488586495496983,2.390247150349951,NA,NA,NA,NA
Farm_A_8,154.35,73,15.391219533939896,3.3477403983530114,NA,NA,NA,NA
Farm_B_1,79.244,75,18.186569439499625,3.341199504686694,15,5,2.4725274725274726,1.2048762065511598
Farm_B_2,127.922,65,8.464552244161984,2.8557837801097135,9,8,7.363636363636364,2.0431918705451206
Farm_B_3,162.783,84,21.13552826056191,3.58791545095304,NA,NA,NA,NA
Farm_B_4,127.741,49,11.246568409567836,2.927736956391095,3,3,3,1.0986122886681096
Farm_B_5,115.862,69,17.000250507955187,3.266540859051071,6,3,2.571428571428571,1.0114042647073518
Farm_B_6,90.543,69,17.777355924808766,3.297933632217088,6,5,4.5,1.5607104090414063
Farm_B_7,75.952,74,29.76774529434884,3.7016478851715093,2,2,2,0.6931471805599453
Farm_C_1,87.306,66,18.936402447516254,3.202395823009148,2,1,1,0
Farm_C_10,123.47,46,7.995730303641093,2.6055351862891616,9,6,4.764705882352941,1.6769877743224173
Farm_C_3,86.36,50,7.232029863488344,2.8994842969099017,22,5,2.016666666666667,1.0318204422829809
Farm_C_6,157.22,49,7.774658368792171,2.701021016056208,NA,NA,NA,NA
Farm_C_8,77.671,56,15.378664992418317,3.1425424938520194,10,3,2.173913043478261,0.8979457248567798
Farm_C_9,124.712,50,10.542103711512286,2.966016184667236,NA,NA,NA,NA
Farm_D_1,135.4,72,16.99162058032185,3.314357859011802,NA,NA,NA,NA
Farm_D_10,79.451,56,12.799495089932599,3.086302197859721,4,3,2.6666666666666665,1.0397207708399179
Farm_D_3,90.156,61,12.916709520785965,3.0354938765092734,22,7,4.101694915254237,1.6405028000622162
Farm_D_4,52.533,62,17.405933869454667,3.2931565420259834,49,8,4.950515463917526,1.7638834176528864
Farm_D_5,70.981,81,30.12063271580794,3.7246544434886446,34,9,4.25,1.7790314667195524
Farm_D_6,101.643,72,10.664013106816306,3.039516366446619,NA,NA,NA,NA
Farm_D_8,99.771,60,19.449090106070294,3.3630932088465277,NA,NA,NA,NA
Farm_E_1,107.443,48,9.124244840285591,2.7269313282022956,4,3,2.6666666666666665,1.0397207708399179
Farm_E_2,97.542,53,10.035795287644362,2.970004802746011,5,3,2.7777777777777772,1.0549201679861442
Farm_E_3,109.302,65,17.792727929726034,3.4401548821426435,NA,NA,NA,NA
Farm_E_4,121.013,66,13.309229117649187,3.1733680734887417,NA,NA,NA,NA
Farm_E_5,184.532,62,15.022545467343386,3.1075735157151465,30,3,2.272727272727273,0.9502705392332347
Farm_E_6,116.73,58,17.575667351116124,3.247148207873206,9,4,3.857142857142857,1.3689223607402192
Farm_E_7,93.254,63,16.816142709254894,3.214928531149528,NA,NA,NA,NA
Farm_F_1,149.76,34,4.896814035471374,2.1849295708766086,183,17,5.005081452697654,2.0237154975125167
Farm_F_2,84.921,50,15.302423589901457,3.1807215636095645,5,3,2.7777777777777772,1.0549201679861442
