Parcel_ID.x,Parcel_name,Date of sampling,Latitude,Longitude,Farm,ownership,Plant_SR_total,Plant_SR_vascular,Plant_SR_cryptogams,Plant_SR_bryophytes,Plant_SR_lichens,D_E_exp_type,D_E_exp_categ,D_E_exp_categ_2,SR_D_E_exper,Abund_D_E_exper,Elevation,Aspect,Slope,Microrelief,Soil depth,Vegetation hight_mean,Vegetation hight_max,Cover of herb layaer (%),Cover of cryptogam layer (%),Bare soil cover (%),Excrements_cover,Dung_cover,Ant hills cover (%),Ant hills hight (cm),Molehills cover (%),Litter cover (%),Dead wood cover (%),Stones and rocks cover (%),Gravel cover (%),Stone and gravel (%),subsidies (yes-no),habitat,habitat_corrected,comment_habitat,Mowing_method,Mowing_frequency,Mowing_delay,Grazing_season,Grazer_type_specific,Grazer_type,Grazer_diversity,Cow_n,Sheep_n,Goat_n,Horse_n,Cow grazing,Sheep grazing,Goat grazing,Horse grazing,Livestock_units,Grazing_duration,Grazing_intensity_A,Grazing_type,Grazing_age,Comment to Years with applied grazing,"Years with applied grazing (CATEGORIES: 1: up to 10, 2: 10-30, 3: more than 30)",Grazing_intensity_B,Manuring_freq,Cow_dung_applied,Last_ploughing,Crops_planted,Cleaning,Shrub_tree_removal,Litter_removal,Moss_removal,Anthill_leveling,Molehill_leveling,Burning,Corralling,Management_stability,soil_pH,soil_C,humus,soil_P_tot,soil_N_tot,soil_Ca_tot,soil_Mg_tot,soil_K_tot,soil_Ca_acces,soil_MG_acces,soil_K_acces,soil_P_acces,soil_CN,Biomass_dry_weight,Biomass_N,Biomass_C,Grazer_type_specifc,Biomass_CN,Dung_for_experiment,experiment,CoverVP_field,SR_VP_field,EvennessVP_field,ShannonVP_field,abundance_Exper,SR_Exper,Evenness_Exper,Shannon_Exper,NMDS1_VP_field,NMDS2_VP_field,NMDS1_exper,NMDS2_exper,Parcel_ID.y,Biomass_Wassen,N_Wassen,C_Wassen,P_Wassen,K_Wassen
Viorel 1,Farm_A_1,31.5.22,46.884361,22.649222,V,private,49,47,2,2,0,c,excr,c,7,21,655,85,5,3,14.2,3.2,21,65,20,25,0.5,0,0,0,0,2,0,0,0,0,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,6,30,fencing,30,NA,2,1.8,0,absent,30,alfalfa,regular,yes,no,yes,yes,yes,yes,1,30,4.87,3.2,5.52,0.076817531,0.540672305,4010,2184,11631,1421,216.8,98.2,9.13,5.918557268,4.736,1.669494867,41.39900208,cow,24.79732217110195,1,cow feces,125.561,47,12.746127028739544,2.9626048707396375,21,7,3.528,1.5681501032915657,-0.9226952209306414,-0.2945574241697185,0.2099342342680076,-0.01159581110057014,Viorel 1,4.736,1.669,41.399,1578.933,23505.205
Viorel 2,Farm_A_2,31.5.22,46.884444,22.647972,V,private,92,82,10,10,0,c,excr,c,3,18,678,93,17,6,13.2,5.8,31,70,54,10,2,0,0,0,0,2,0,0,0,0,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,6,30,fencing,17,NA,2,1.8,0,absent,30,"potato, rye",regular,yes,yes,yes,yes,yes,yes,0,25,4.78,3.26,5.63,0.057967321,0.520166934,2927,2425,16441,1244.6,254.7,132.3,2.07,6.267218828,10.746,1.692042828,42.66306305,cow,25.213938054054978,1,cow feces,98.306,80,10.358268284345268,2.8998789776962433,18,3,1.7419354838709675,0.7298429194806347,-0.42308729355595986,-0.1975340655011843,-0.4960206499580159,-0.06866962534020439,Viorel 2,10.746,1.692,42.663,5272.159,33212.2
Viorel 3,Farm_A_3,31.5.22,46.884194,22.647639,V,private,73,66,7,7,0,n,n,n,NA,NA,686,102,22,5,15,36.4,80,97,25,0,0,0,0.1,3,0,50,0,0,0,0,yes,meadow,meadow,NA,T,1,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,50,NA,3,0.45,0.3,present,60,no,regular,yes,yes,yes,yes,yes,yes,0,50,4.39,3.99,6.88,0.0542632,0.553176033,2822,1834,13932,1202.3,248.4,105,1.55,7.212893841,16.146,2.054766178,41.47246933,cow,20.18354680646296,0,NA,110.011,66,7.7831495794028625,2.9071288564067213,NA,NA,NA,NA,-0.04332835405031138,-0.10229275995357352,NA,NA,Viorel 3,16.146,2.055,41.472,979.377,13586.224
Viorel 4,Farm_A_4,31.5.22,46.883417,22.647361,V,private,67,63,4,4,0,d,dung,c,1,1,688,98,11,5,19.8,54,118,100,2,0,0,8,0.2,5,0,0,0,0,0,0,yes,meadow,meadow,NA,T,2,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,5,NA,1,0.15,1,present,5,"potato, rye",no,no,no,no,no,no,yes,0,5,6.07,5.79,9.99,0.085151347,0.856070501,5638,15212,22614,3092.8,838.9,348.8,4.09,6.763461648,35.866,1.269277215,41.84183121,cow,32.9650849440325,1,cow manure,108.226,64,18.251869254622132,3.33432116228921,NA,NA,NA,NA,-0.7569430094729205,0.38557200775871914,NA,NA,Viorel 4,35.866,1.269,41.842,923.895,12140.394
Viorel 5,Farm_A_5,3.6.22,46.885528,22.646694,V,private,48,43,5,5,0,d,dung,c,5,9,707,70,1,5,14.6,49.8,108,99,20,2,0.5,1,0.5,5,0,0.5,0,0,0,0,yes,meadow,meadow,NA,T,3,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,5,NA,1,0.15,0.3,present,5,alfalfa,regular,yes,no,yes,yes,yes,yes,1,5,6.96,7.74,13.34,0.110594041,1.091869589,11264,8468,19239,5329.2,1348.2,683.7,4,7.088758656,41.406,1.618956208,43.23268127,cow,26.7040461356321,1,cow manure,146.812,43,7.34291797672765,2.415468990976931,8,5,4,1.4941751382893085,-0.6730653681293645,0.8059681778905274,-0.997132956643138,0.23967708800281284,Viorel 5,41.406,1.619,43.233,1105.607,11195.929
Viorel 6,Farm_A_6,3.6.22,46.88705,22.64752,V,private,67,63,4,4,0,s,excr,s,0,0,707,110,17,2,11,19.8,72,83,30,3,0.001,0,0,0,0,2,0,0,0,0,yes,meadow,meadow,NA,T,1,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,8,NA,1,0.15,0,absent,20,"corn, potatoes",regular,yes,yes,yes,yes,yes,yes,1,5,6.47,7.18,12.38,0.069155944,0.951222919,8821,3743,14713,4903.2,1329.2,283.6,2.1,7.548178094,25.966,1.645053267,44.38463974,cow,26.98067024962785,1,sheep feces,126.451,63,12.008809716189146,2.995621992743836,NA,NA,NA,NA,0.19918748888754412,0.3338782161334321,NA,NA,Viorel 6,25.966,1.645,44.385,2604.747,20056.582
Viorel 7,Farm_A_7,4.6.22,46.88709,22.64692,V,private,51,49,2,2,0,n,n,n,NA,NA,712,118,8,3,17.6,26,65,80,0.5,22,0,0,0,0,0,1,0,0,1,1,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,10,50,fencing,50,NA,3,4.5,0,absent,60,no,regular,yes,no,yes,yes,yes,yes,0,5,5.1,7.01,12.08,0.077324719,0.931134683,4373,2331,7308,3884.9,247.8,142.8,3.66,7.52844903,21.356,0,0,cow,NA,0,NA,104.502,49,5.488586495496983,2.390247150349951,NA,NA,NA,NA,0.3982296182291808,0.2730425443035238,NA,NA,Viorel 7,21.356,0,0,761.894,14491.55
Viorel 8,Farm_A_8,3.6.22,46.88902,22.64819,V,private,82,74,8,8,0,n,n,n,NA,NA,682,85,7,22,14.6,29,114,100,8,0,0,0,2,22,0,80,0,0,0,0,no,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,6,30,fencing,50,NA,3,2.7,0,absent,60,no,regular,yes,yes,yes,yes,yes,yes,0,28,5.28,5.73,9.89,0.065763031,0.818283697,5782,2798,8959,3488.3,239.6,105.9,2.2,7.002461399,25.026,1.654106379,42.51712036,cow,25.703981859802745,0,NA,154.35,73,15.391219533939896,3.3477403983530114,NA,NA,NA,NA,0.01309909723309609,-0.21302987958211292,NA,NA,Viorel 8,25.026,1.654,42.517,888.163,9858.352
Viorel 9,Communal_1,4.6.22,46.88712,22.64669,C,communal,48,40,8,7,1,s,excr,s,2,13,712,135,4,3,13.8,7.8,35,85,70,0.3,0.1,0,0,0,0,1,0,0.001,1,1.001,yes,pasture,pasture,NA,no,0,no mowing,Whole season,"S250-350, G2",sheep_goat,2,0,250,2,0,0,1,1,0,65,15,975,herding,50,NA,3,58.5,0,absent,60,no,irregular,yes,yes,yes,yes,yes,no,0,50,4.78,6.61,11.39,0.08292935,0.972786407,5562,3537,11247,3629,617.1,140.5,2.1,6.794914024,11.656,1.498944998,43.52755356,sheep_goat,29.038793029816027,1,sheep feces,106.713,40,3.8037427211239536,2.056233294420802,5,2,1.923076923076923,0.6730116670092565,0.4302010324350589,-0.4782951914493143,0.716696879769101,-0.121139440573248,Viorel 9,11.656,1.499,43.528,961.168,15832.664
Viorel 10,Farm_A_10,3.6.22,46.88747,22.64928,V,private,78,72,6,5,1,n,n,n,NA,NA,661,88,16,3,13.8,18.4,76,90,60,0,0.1,0,0,0,0,1,0,2,5,7,yes,meadow,meadow,NA,T,1,July-August,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,50,NA,3,0.45,0,absent,60,no,regular,yes,yes,yes,yes,yes,yes,0,50,7.07,7.17,12.36,0.077296356,0.972140177,17816,8119,15150,8144.9,977.5,306.8,1.47,7.375479553,15.626,1.784804821,43.30753326,cow,24.264576580275833,0,NA,104.76,72,12.105952439297566,3.247368197949214,NA,NA,NA,NA,0.22559436425690677,0.14732600028168907,NA,NA,Viorel 10,15.626,1.785,43.308,1136.366,11735.033
Viorel 13,Farm_A_13,3.6.22,46.886056,22.647,V,private,72,64,8,8,0,s,excr,s,0,0,704,90,5,1,18.2,35.8,80,82,20,5,0.001,0,0,0,0,3,0,0,0,0,yes,meadow,meadow,NA,T,1,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,10,NA,2,0.3,0.5,present,10,"potato, cereals",regular,yes,no,no,yes,yes,no,0,10,6.1,6.89,11.87,0.101794885,1.028506322,7776,5494,16551,4964.7,1018.4,381.2,2.42,6.69903515,23.116,1.916124344,41.71434784,cow,21.770167458401648,1,sheep feces,111.423,64,6.301263670119257,2.7894324283724106,NA,NA,NA,NA,-0.2215709872246324,0.2962913072775079,NA,NA,Viorel 13,23.116,1.916,41.714,2460.986,26925.653
Ileana 1,Farm_B_1,1.6.22,46.886,22.630833,I,private,76,75,1,1,0,d,dung,c,5,15,687,60,9,5,13.8,13.4,N/A,82,1,8,0,8,0,0,0,2,0.01,0,0,0,yes,meadow,meadow,NA,T,1,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,25,NA,2,0.3,1,present,25,"potato, rey, wheat",regular,yes,yes,no,yes,yes,yes,0,25,4.86,5.14,8.87,0.06214471,0.710739918,4704,2864,10322,1860.9,164.1,120.1,2.38,7.231899978,14.906,2.064169884,42.49417114,cow,20.586566769230124,1,cow manure,79.244,75,18.186569439499625,3.341199504686694,15,5,2.4725274725274726,1.2048762065511598,-0.14565998276782657,-0.01150866265411687,0.02598100598919415,-0.4680430888049173,Ileana 1,14.906,2.064,42.494,1551.056,20340.569
Ileana 2,Farm_B_2,1.6.22,46.886472,22.630972,I,private,74,64,10,10,0,c,excr,c,8,9,674,78,14,9,25,12.6,60,75,15,5,2.5,0,0.2,1,0,40,0,0,0,0,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,10,50,fencing,15,NA,2,3,0,absent,60,no,regular,yes,yes,no,yes,yes,yes,0,15,4.37,3.85,6.63,0.054540202,0.576769034,3548,2470,8408,1178.2,88.6,79.4,2.25,6.675115643,16.686,1.417037487,42.36114883,cow,29.894162447094104,1,cow feces,127.922,65,8.464552244161984,2.8557837801097135,9,8,7.363636363636364,2.0431918705451206,-0.28474425515913476,-0.3559472490244919,-0.22101327123714967,-0.4406285189918636,Ileana 2,16.686,1.417,42.361,1276.262,15267.842
Ileana 3,Farm_B_3,1.6.22,46.886806,22.631278,I,private,92,84,8,8,0,n,n,n,NA,NA,668,93,14,5,28.6,24.6,N/A,95,10,3,0,0,0.5,2,0,10,0.1,0,0,0,yes,meadow,meadow,NA,M_T,1,July-August,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,25,NA,2,0.3,0,absent,25,"potato, cereals",regular,yes,yes,no,yes,yes,yes,0,25,4.48,4.31,7.43,0.062347244,0.595261604,3952,2348,9166,1768.2,142,131.7,3.79,7.240514035,21.056,1.940924287,42.91424942,cow,22.11021300904562,0,NA,162.783,84,21.13552826056191,3.58791545095304,NA,NA,NA,NA,-0.26097919351490056,-0.27803000579105747,NA,NA,Ileana 3,21.056,1.941,42.914,1459.79,19749.092
Ileana 4,Farm_B_4,1.6.22,46.886889,22.631722,I,private,54,50,4,4,0,c,excr,c,3,3,660,84,19,19,11.4,21,86,85,10,0.5,0.5,0,7,19,0,70,0,0,10,10,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,10,50,fencing,6,NA,1,1.5,0,absent,60,no,regular,yes,yes,no,yes,yes,yes,0,6,3.94,4.27,7.37,0.05777804,0.575458958,2882,1278,7166,730.6,101.9,126.9,6.15,7.420164269,19.806,1.656053424,43.02046967,cow,25.977706423316448,1,cow feces,127.741,49,11.246568409567836,2.927736956391095,3,3,3,1.0986122886681096,-0.17244680250851674,-0.4728355769405216,0.2796931881875349,0.6076919876886795,Ileana 4,19.806,1.656,43.02,1654.19,21312.882
Ileana 5,Farm_B_5,1.6.22,46.886333,22.630139,I,private,79,69,10,10,0,d,dung,c,3,6,703,87,8,8,12.2,8.4,61,80,35,4,0.5,0,0.5,2,0,1,0,0,0.1,0.1,yes,meadow,meadow,NA,T,1,July-August,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,25,NA,2,0.3,0,absent,60,no,regular,yes,yes,no,yes,yes,yes,0,25,4.15,5.26,9.08,0.043739782,0.613002075,4480,2150,9210,2550.2,155.3,125.8,3,8.580721367,17.616,1.946352482,43.19361496,cow,22.192082554140363,1,cow manure,115.862,69,17.000250507955187,3.266540859051071,6,3,2.571428571428571,1.0114042647073518,0.1381316658963143,-0.2452003949388236,0.07952866522918081,-0.3629201589450759,Ileana 5,17.616,1.946,43.194,1306.214,16692.349
Ileana 6,Farm_B_6,2.6.2022,46.885639,22.633,I,private,78,68,10,9,1,d,dung,c,5,6,698,320,5,8,12.6,18.6,64,98,40,1,0,1,0,0,0.5,0.1,0,1,0,1,yes,meadow,meadow,NA,T,1,June,Autumn,C5,cow,1,5,0,0,0,1,0,0,0,5,3,15,free,5,NA,1,0.15,0.5,present,5,potato,regular,yes,yes,no,yes,yes,no,0,5,5.38,7,12.07,0.071854133,0.920647405,8506,3350,12306,4749.4,191.5,168.9,2.73,7.603345168,21.646,1.802694201,43.04387665,cow,23.87752544281913,1,cow manure,90.543,69,17.777355924808766,3.297933632217088,6,5,4.5,1.5607104090414063,-0.01914897643083803,0.1902396022602164,0.03517345050813329,-0.1777198133118249,Ileana 6,21.646,1.803,43.044,1606.477,19898.267
Ileana 7,Farm_B_7,2.6.2022,46.885222,22.631583,I,private,87,75,12,12,0,c,excr,c,2,2,698,308,6,25,15.6,7.4,42,78,15,3,4,0,2.5,25,0,0,0,0,0,0,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C5,cow,1,5,0,0,0,1,0,0,0,5,10,50,fencing,10,NA,2,3,0,absent,60,no,regular,yes,yes,no,yes,yes,yes,0,10,4.87,5.95,10.25,0.056579239,0.75421563,6532,3171,10299,4738.8,191.1,194.8,2.59,7.888990577,14.216,2.141325951,40.45442963,cow,18.892233389833887,1,cow feces,75.952,74,29.76774529434884,3.7016478851715098,2,2,2,0.6931471805599453,-0.09489993167056372,-0.1590690636787811,-0.5701342086790516,0.6828058072092204,Ileana 7,14.216,2.141,40.454,1615.306,24803.038
Ileana 8,Communal_2,2.6.2022,46.888139,22.632,C,communal,45,37,8,7,1,s,excr,s,2,6,698,185,15,10,9.6,3.8,44,72,60,1.5,2,0,0,0,0,0,0,4,0,4,yes,pasture,pasture,NA,no,0,no mowing,Whole season,"S250-350, G2",sheep_goat,2,0,250,2,0,0,1,1,0,65,15,975,herding,50,NA,3,58.5,0,absent,60,no,irregular,yes,no,no,no,no,yes,0,50,4.79,4.81,8.3,0.042837254,0.643723568,6563,2367,7425,4446.5,182.1,149.2,2.23,7.472151458,10.256,1.785666227,43.61728287,sheep_goat,24.42633579024396,1,sheep feces,99.274,38,8.917949748887919,2.4230586224092816,6,2,1.7999999999999998,0.6365141682948128,1.0439797801922257,-0.19266391833630053,0.9827115400362813,0.1767371686080137,Ileana 8,10.256,1.786,43.617,1189.064,14489.169
Sabina 1,Farm_C_1,2.6.2022,46.88775,22.630861,S,private,70,66,4,4,0,s,excr,s,1,5,681,195,15,5,11.8,21.6,73,92,35,3,0,0,0.2,3,0,1,0,0,0,0,yes,meadow,meadow,NA,M,1,July-August,Autumn,S70+G8,sheep_goat,2,0,70,8,0,0,1,1,0,15.6,3,46.8,free,5,NA,1,0.468,0,absent,50,"potato, cereals",irregular,yes,no,no,yes,yes,no,0,4,4.9,5.55,9.57,0.054512237,0.696530766,6821,2981,9661,4122.5,252.6,139.7,2.77,7.968061533,29.246,1.991839886,42.90048218,sheep_goat,21.53811783845361,1,sheep feces,87.306,66,18.936402447516254,3.202395823009148,2,1,1,0,0.17662537920172336,0.5408953113042962,0.4807169460992601,-0.6602725057142694,Sabina 1,29.246,1.992,42.9,1792.111,19700.382
Sabina 3,Farm_C_3,23.6.2022,46.885972,22.624556,S,private,54,51,3,3,0,c,excr,c,6,22,688,135,20,7,24.6,20.6,N/A,80,25,1,0.7,0,1,2,0,8,0,0,0,0,yes,pasture,pasture,NA,no,0,no mowing,Whole season,C7+S70+G8,mixed,3,7,70,8,0,1,1,1,0,22.6,10,226,fencing,50,NA,3,20.34,0,absent,60,no,regular,yes,no,no,yes,yes,no,0,50,4.07,3.79,6.53,0.069648101,0.565052461,3827,2064,10289,1191.4,128.8,116.4,2.99,6.707341816,29.126,1.155904412,43.53530121,cow_sheep_goat,37.66340949825876,1,cow feces,86.36,50,7.232029863488344,2.8994842969099017,22,5,2.016666666666667,1.0318204422829809,-0.2378816373967968,-0.4961645768648336,-0.3688836734192342,-0.16994619422188048,Sabina 3,29.126,1.156,43.535,1301.287,13900.342
